jahr,herkunft,stadtkreis,quartier,anzahl
2023,Ausland,Stadt,Altstadt,22
2023,Ausland,Stadt,Altstadt,29
2023,Ausland,Stadt,Altstadt,130
2023,Ausland,Stadt,Altstadt,47
2023,Ausland,Stadt,Altstadt,22
2023,Ausland,Stadt,Altstadt,23
2023,Schweiz,Stadt,Altstadt,1685
2023,Ausland,Stadt,Altstadt,25
2023,Ausland,Stadt,Altstadt,47
2023,Ausland,Veltheim,Blumenau,76
2023,Ausland,Veltheim,Blumenau,30
2023,Ausland,Veltheim,Blumenau,144
2023,Ausland,Veltheim,Blumenau,225
2023,Ausland,Veltheim,Blumenau,161
2023,Ausland,Veltheim,Blumenau,67
2023,Ausland,Veltheim,Blumenau,72
2023,Ausland,Veltheim,Blumenau,33
2023,Ausland,Veltheim,Blumenau,39
2023,Ausland,Veltheim,Blumenau,58
2023,Schweiz,Veltheim,Blumenau,3413
2023,Ausland,Veltheim,Blumenau,44
2023,Ausland,Veltheim,Blumenau,45
2023,Ausland,Veltheim,Blumenau,56
2023,Ausland,Veltheim,Blumenau,57
2023,Ausland,Veltheim,Blumenau,26
2023,Ausland,Veltheim,Blumenau,5
2023,Ausland,Veltheim,Blumenau,55
2023,Ausland,Stadt,Brühlberg,38
2023,Ausland,Stadt,Brühlberg,138
2023,Ausland,Stadt,Brühlberg,60
2023,Ausland,Stadt,Brühlberg,28
2023,Ausland,Stadt,Brühlberg,23
2023,Ausland,Stadt,Brühlberg,22
2023,Schweiz,Stadt,Brühlberg,1751
2023,Ausland,Stadt,Brühlberg,42
2023,Ausland,Stadt,Brühlberg,27
2023,Ausland,Seen,Büelwiesen,65
2023,Ausland,Seen,Büelwiesen,24
2023,Ausland,Seen,Büelwiesen,177
2023,Ausland,Seen,Büelwiesen,118
2023,Ausland,Seen,Büelwiesen,159
2023,Ausland,Seen,Büelwiesen,76
2023,Ausland,Seen,Büelwiesen,56
2023,Ausland,Seen,Büelwiesen,22
2023,Ausland,Seen,Büelwiesen,45
2023,Ausland,Seen,Büelwiesen,31
2023,Schweiz,Seen,Büelwiesen,2231
2023,Ausland,Seen,Büelwiesen,35
2023,Ausland,Seen,Büelwiesen,23
2023,Ausland,Seen,Büelwiesen,103
2023,Ausland,Seen,Büelwiesen,57
2023,Ausland,Seen,Büelwiesen,31
2023,Ausland,Seen,Büelwiesen,6
2023,Ausland,Seen,Büelwiesen,23
2023,Ausland,Töss,Dättnau,41
2023,Ausland,Töss,Dättnau,122
2023,Ausland,Töss,Dättnau,150
2023,Ausland,Töss,Dättnau,200
2023,Ausland,Töss,Dättnau,73
2023,Ausland,Töss,Dättnau,147
2023,Ausland,Töss,Dättnau,23
2023,Ausland,Töss,Dättnau,26
2023,Schweiz,Töss,Dättnau,2775
2023,Ausland,Töss,Dättnau,46
2023,Ausland,Töss,Dättnau,25
2023,Ausland,Töss,Dättnau,103
2023,Ausland,Töss,Dättnau,56
2023,Ausland,Mattenbach,Deutweg,132
2023,Ausland,Mattenbach,Deutweg,67
2023,Ausland,Mattenbach,Deutweg,168
2023,Ausland,Mattenbach,Deutweg,315
2023,Ausland,Mattenbach,Deutweg,209
2023,Ausland,Mattenbach,Deutweg,44
2023,Ausland,Mattenbach,Deutweg,105
2023,Ausland,Mattenbach,Deutweg,24
2023,Ausland,Mattenbach,Deutweg,59
2023,Ausland,Mattenbach,Deutweg,187
2023,Ausland,Mattenbach,Deutweg,45
2023,Schweiz,Mattenbach,Deutweg,5541
2023,Ausland,Mattenbach,Deutweg,36
2023,Ausland,Mattenbach,Deutweg,66
2023,Ausland,Mattenbach,Deutweg,75
2023,Ausland,Mattenbach,Deutweg,90
2023,Ausland,Mattenbach,Deutweg,27
2023,Ausland,Mattenbach,Deutweg,7
2023,Ausland,Mattenbach,Deutweg,61
2023,Ausland,Töss,Eichliacker,123
2023,Ausland,Töss,Eichliacker,27
2023,Ausland,Töss,Eichliacker,189
2023,Ausland,Töss,Eichliacker,25
2023,Ausland,Töss,Eichliacker,193
2023,Ausland,Töss,Eichliacker,274
2023,Ausland,Töss,Eichliacker,63
2023,Ausland,Töss,Eichliacker,150
2023,Ausland,Töss,Eichliacker,37
2023,Ausland,Töss,Eichliacker,36
2023,Ausland,Töss,Eichliacker,57
2023,Schweiz,Töss,Eichliacker,2772
2023,Ausland,Töss,Eichliacker,52
2023,Ausland,Töss,Eichliacker,36
2023,Ausland,Töss,Eichliacker,153
2023,Ausland,Töss,Eichliacker,68
2023,Ausland,Töss,Eichliacker,46
2023,Ausland,Töss,Eichliacker,3
2023,Ausland,Töss,Eichliacker,32
2023,Schweiz,Seen,Eidberg,165
2023,Ausland,Mattenbach,Endliker,69
2023,Ausland,Mattenbach,Endliker,85
2023,Ausland,Mattenbach,Endliker,54
2023,Ausland,Mattenbach,Endliker,135
2023,Ausland,Mattenbach,Endliker,63
2023,Ausland,Mattenbach,Endliker,49
2023,Ausland,Mattenbach,Endliker,26
2023,Schweiz,Mattenbach,Endliker,1501
2023,Ausland,Mattenbach,Endliker,47
2023,Ausland,Mattenbach,Endliker,68
2023,Ausland,Mattenbach,Endliker,44
2023,Ausland,Mattenbach,Endliker,36
2023,Ausland,Mattenbach,Endliker,3
2023,Ausland,Seen,Ganzenbühl,55
2023,Ausland,Seen,Ganzenbühl,24
2023,Ausland,Seen,Ganzenbühl,71
2023,Ausland,Seen,Ganzenbühl,126
2023,Ausland,Seen,Ganzenbühl,165
2023,Ausland,Seen,Ganzenbühl,44
2023,Ausland,Seen,Ganzenbühl,26
2023,Ausland,Seen,Ganzenbühl,30
2023,Schweiz,Seen,Ganzenbühl,2303
2023,Ausland,Seen,Ganzenbühl,41
2023,Ausland,Seen,Ganzenbühl,80
2023,Ausland,Seen,Ganzenbühl,40
2023,Ausland,Seen,Ganzenbühl,30
2023,Ausland,Seen,Ganzenbühl,1
2023,Ausland,Seen,Ganzenbühl,23
2023,Schweiz,Seen,Gotzenwil,633
2023,Ausland,Oberwinterthur,Grüze,39
2023,Ausland,Oberwinterthur,Grüze,44
2023,Ausland,Oberwinterthur,Grüze,154
2023,Ausland,Oberwinterthur,Grüze,255
2023,Ausland,Oberwinterthur,Grüze,135
2023,Ausland,Oberwinterthur,Grüze,32
2023,Ausland,Oberwinterthur,Grüze,37
2023,Ausland,Oberwinterthur,Grüze,44
2023,Ausland,Oberwinterthur,Grüze,46
2023,Schweiz,Oberwinterthur,Grüze,2525
2023,Ausland,Oberwinterthur,Grüze,28
2023,Ausland,Oberwinterthur,Grüze,43
2023,Ausland,Oberwinterthur,Grüze,86
2023,Ausland,Oberwinterthur,Grüze,44
2023,Ausland,Oberwinterthur,Grüze,6
2023,Ausland,Oberwinterthur,Grüze,57
2023,Ausland,Oberwinterthur,Guggenbühl,282
2023,Ausland,Oberwinterthur,Guggenbühl,56
2023,Ausland,Oberwinterthur,Guggenbühl,192
2023,Ausland,Oberwinterthur,Guggenbühl,27
2023,Ausland,Oberwinterthur,Guggenbühl,160
2023,Ausland,Oberwinterthur,Guggenbühl,385
2023,Ausland,Oberwinterthur,Guggenbühl,98
2023,Ausland,Oberwinterthur,Guggenbühl,228
2023,Ausland,Oberwinterthur,Guggenbühl,31
2023,Ausland,Oberwinterthur,Guggenbühl,94
2023,Ausland,Oberwinterthur,Guggenbühl,106
2023,Schweiz,Oberwinterthur,Guggenbühl,3580
2023,Ausland,Oberwinterthur,Guggenbühl,111
2023,Ausland,Oberwinterthur,Guggenbühl,47
2023,Ausland,Oberwinterthur,Guggenbühl,170
2023,Ausland,Oberwinterthur,Guggenbühl,112
2023,Ausland,Oberwinterthur,Guggenbühl,57
2023,Ausland,Oberwinterthur,Guggenbühl,6
2023,Ausland,Oberwinterthur,Guggenbühl,49
2023,Ausland,Mattenbach,Gutschick,103
2023,Ausland,Mattenbach,Gutschick,36
2023,Ausland,Mattenbach,Gutschick,145
2023,Ausland,Mattenbach,Gutschick,108
2023,Ausland,Mattenbach,Gutschick,211
2023,Ausland,Mattenbach,Gutschick,97
2023,Ausland,Mattenbach,Gutschick,115
2023,Ausland,Mattenbach,Gutschick,23
2023,Ausland,Mattenbach,Gutschick,47
2023,Ausland,Mattenbach,Gutschick,40
2023,Schweiz,Mattenbach,Gutschick,1869
