jahr,herkunft,stadtkreis,quartier,anzahl
2014,Ausland,Mattenbach,Deutweg,1369
2014,Ausland,Mattenbach,Endliker,506
2014,Ausland,Mattenbach,Gutschick,949
2014,Ausland,Oberwinterthur,Grüze,367
2014,Ausland,Oberwinterthur,Guggenbühl,1705
2014,Ausland,Oberwinterthur,Hegi,826
2014,Ausland,Oberwinterthur,Hegmatten,391
2014,Ausland,Oberwinterthur,Talacker,1426
2014,Ausland,Oberwinterthur,Zinzikon,544
2014,Ausland,Seen,Büelwiesen,712
2014,Ausland,Seen,Ganzenbühl,519
2014,Ausland,Seen,Iberg,71
2014,Ausland,Seen,Oberseen,204
2014,Ausland,Seen,Sennhof,318
2014,Ausland,Seen,Sonnenberg,33
2014,Ausland,Seen,Waldegg,59
2014,Ausland,Seen,Waser,1009
2014,Ausland,Stadt,Altstadt,340
2014,Ausland,Stadt,Brühlberg,326
2014,Ausland,Stadt,Heiligberg,446
2014,Ausland,Stadt,Lind,889
2014,Ausland,Stadt,Neuwiesen,848
2014,Ausland,Stadt,Tössfeld,904
2014,Ausland,Töss,Dättnau,791
2014,Ausland,Töss,Eichliacker,1431
2014,Ausland,Töss,Schlosstal,999
2014,Ausland,Veltheim,Blumenau,1048
2014,Ausland,Veltheim,Rosenberg,808
2014,Ausland,Wülflingen,Härti,1095
2014,Ausland,Wülflingen,Lindenplatz,610
2014,Ausland,Wülflingen,Niederfeld,130
2014,Ausland,Wülflingen,Oberfeld,1443
2014,Ausland,Wülflingen,Taggenberg,68
2014,Ausland,Wülflingen,Weinberg,117
2014,Ausland,unbekannt,unbekannt,14
2014,Schweiz,Mattenbach,Deutweg,5403
2014,Schweiz,Mattenbach,Endliker,1610
2014,Schweiz,Mattenbach,Gutschick,2121
2014,Schweiz,Oberwinterthur,Grüze,1298
2014,Schweiz,Oberwinterthur,Guggenbühl,3884
2014,Schweiz,Oberwinterthur,Hegi,2513
2014,Schweiz,Oberwinterthur,Hegmatten,1380
2014,Schweiz,Oberwinterthur,Reutlingen,343
2014,Schweiz,Oberwinterthur,Ricketwil,83
2014,Schweiz,Oberwinterthur,Stadel,263
2014,Schweiz,Oberwinterthur,Talacker,4781
2014,Schweiz,Oberwinterthur,Zinzikon,2114
2014,Schweiz,Seen,Büelwiesen,2178
2014,Schweiz,Seen,Eidberg,167
2014,Schweiz,Seen,Ganzenbühl,2280
2014,Schweiz,Seen,Gotzenwil,615
2014,Schweiz,Seen,Iberg,949
2014,Schweiz,Seen,Oberseen,2120
2014,Schweiz,Seen,Sennhof,822
2014,Schweiz,Seen,Sonnenberg,849
2014,Schweiz,Seen,Waldegg,1059
2014,Schweiz,Seen,Waser,3830
2014,Schweiz,Stadt,Altstadt,1871
2014,Schweiz,Stadt,Brühlberg,1446
2014,Schweiz,Stadt,Heiligberg,3024
2014,Schweiz,Stadt,Lind,4579
2014,Schweiz,Stadt,Neuwiesen,2917
2014,Schweiz,Stadt,Tössfeld,2176
2014,Schweiz,Töss,Dättnau,2363
2014,Schweiz,Töss,Eichliacker,2509
2014,Schweiz,Töss,Schlosstal,2213
2014,Schweiz,Veltheim,Blumenau,3276
2014,Schweiz,Veltheim,Rosenberg,4638
2014,Schweiz,Wülflingen,Hardau,299
2014,Schweiz,Wülflingen,Härti,2409
2014,Schweiz,Wülflingen,Lindenplatz,1999
2014,Schweiz,Wülflingen,Neuburg,152
2014,Schweiz,Wülflingen,Niederfeld,1263
2014,Schweiz,Wülflingen,Oberfeld,3681
2014,Schweiz,Wülflingen,Taggenberg,717
2014,Schweiz,Wülflingen,Weinberg,897
2014,Schweiz,unbekannt,unbekannt,9
2015,Ausland,Mattenbach,Deutweg,1362
2015,Ausland,Mattenbach,Endliker,528
2015,Ausland,Mattenbach,Gutschick,952
2015,Ausland,Oberwinterthur,Grüze,373
2015,Ausland,Oberwinterthur,Guggenbühl,1744
2015,Ausland,Oberwinterthur,Hegi,808
2015,Ausland,Oberwinterthur,Hegmatten,419
2015,Ausland,Oberwinterthur,Talacker,1479
2015,Ausland,Oberwinterthur,Zinzikon,588
2015,Ausland,Seen,Büelwiesen,741
2015,Ausland,Seen,Ganzenbühl,469
2015,Ausland,Seen,Gotzenwil,21
2015,Ausland,Seen,Iberg,71
2015,Ausland,Seen,Oberseen,196
2015,Ausland,Seen,Sennhof,316
2015,Ausland,Seen,Sonnenberg,38
2015,Ausland,Seen,Waldegg,74
2015,Ausland,Seen,Waser,1118
2015,Ausland,Stadt,Altstadt,256
2015,Ausland,Stadt,Brühlberg,278
2015,Ausland,Stadt,Heiligberg,399
2015,Ausland,Stadt,Lind,887
2015,Ausland,Stadt,Neuwiesen,866
2015,Ausland,Stadt,Tössfeld,1014
2015,Ausland,Töss,Dättnau,823
2015,Ausland,Töss,Eichliacker,1373
2015,Ausland,Töss,Schlosstal,995
2015,Ausland,Veltheim,Blumenau,1083
2015,Ausland,Veltheim,Rosenberg,844
2015,Ausland,Wülflingen,Härti,1076
2015,Ausland,Wülflingen,Lindenplatz,630
2015,Ausland,Wülflingen,Niederfeld,213
2015,Ausland,Wülflingen,Oberfeld,1496
2015,Ausland,Wülflingen,Taggenberg,93
2015,Ausland,Wülflingen,Weinberg,169
2015,Ausland,unbekannt,unbekannt,6
2015,Schweiz,Mattenbach,Deutweg,5510
2015,Schweiz,Mattenbach,Endliker,1607
2015,Schweiz,Mattenbach,Gutschick,2154
2015,Schweiz,Oberwinterthur,Grüze,1318
2015,Schweiz,Oberwinterthur,Guggenbühl,3972
2015,Schweiz,Oberwinterthur,Hegi,2526
2015,Schweiz,Oberwinterthur,Hegmatten,1369
2015,Schweiz,Oberwinterthur,Reutlingen,365
2015,Schweiz,Oberwinterthur,Ricketwil,81
2015,Schweiz,Oberwinterthur,Stadel,261
2015,Schweiz,Oberwinterthur,Talacker,4814
