jahr,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2023,230,Winterthur,00-04,Ausland,männlich,770,false
2023,230,Winterthur,00-04,Ausland,weiblich,767,false
2023,230,Winterthur,00-04,Schweiz,männlich,2352,false
2023,230,Winterthur,00-04,Schweiz,weiblich,2126,false
2023,230,Winterthur,05-09,Ausland,männlich,976,false
2023,230,Winterthur,05-09,Ausland,weiblich,868,false
2023,230,Winterthur,05-09,Schweiz,männlich,2266,false
2023,230,Winterthur,05-09,Schweiz,weiblich,2189,false
2023,230,Winterthur,10-14,Ausland,männlich,792,false
2023,230,Winterthur,10-14,Ausland,weiblich,773,false
2023,230,Winterthur,10-14,Schweiz,männlich,2312,false
2023,230,Winterthur,10-14,Schweiz,weiblich,2189,false
2023,230,Winterthur,15-19,Ausland,männlich,729,false
2023,230,Winterthur,15-19,Ausland,weiblich,580,false
2023,230,Winterthur,15-19,Schweiz,männlich,2333,false
2023,230,Winterthur,15-19,Schweiz,weiblich,2177,false
2023,230,Winterthur,20-24,Ausland,männlich,907,false
2023,230,Winterthur,20-24,Ausland,weiblich,750,false
2023,230,Winterthur,20-24,Schweiz,männlich,2640,false
2023,230,Winterthur,20-24,Schweiz,weiblich,2926,false
2023,230,Winterthur,25-29,Ausland,männlich,1461,false
2023,230,Winterthur,25-29,Ausland,weiblich,1317,false
2023,230,Winterthur,25-29,Schweiz,männlich,3611,false
2023,230,Winterthur,25-29,Schweiz,weiblich,3854,false
2023,230,Winterthur,30-34,Ausland,männlich,1876,false
2023,230,Winterthur,30-34,Ausland,weiblich,1727,false
2023,230,Winterthur,30-34,Schweiz,männlich,3780,false
2023,230,Winterthur,30-34,Schweiz,weiblich,3575,false
2023,230,Winterthur,35-39,Ausland,männlich,1889,false
2023,230,Winterthur,35-39,Ausland,weiblich,1822,false
2023,230,Winterthur,35-39,Schweiz,männlich,3341,false
2023,230,Winterthur,35-39,Schweiz,weiblich,3138,false
2023,230,Winterthur,40-44,Ausland,männlich,1740,false
2023,230,Winterthur,40-44,Ausland,weiblich,1660,false
2023,230,Winterthur,40-44,Schweiz,männlich,2936,false
2023,230,Winterthur,40-44,Schweiz,weiblich,2859,false
2023,230,Winterthur,45-49,Ausland,männlich,1436,false
2023,230,Winterthur,45-49,Ausland,weiblich,1224,false
2023,230,Winterthur,45-49,Schweiz,männlich,2540,false
2023,230,Winterthur,45-49,Schweiz,weiblich,2647,false
2023,230,Winterthur,50-54,Ausland,männlich,1160,false
2023,230,Winterthur,50-54,Ausland,weiblich,1057,false
2023,230,Winterthur,50-54,Schweiz,männlich,2591,false
2023,230,Winterthur,50-54,Schweiz,weiblich,2712,false
2023,230,Winterthur,55-59,Ausland,männlich,1000,false
2023,230,Winterthur,55-59,Ausland,weiblich,887,false
2023,230,Winterthur,55-59,Schweiz,männlich,2874,false
2023,230,Winterthur,55-59,Schweiz,weiblich,2997,false
2023,230,Winterthur,60-64,Ausland,männlich,755,false
2023,230,Winterthur,60-64,Ausland,weiblich,625,false
2023,230,Winterthur,60-64,Schweiz,männlich,2517,false
2023,230,Winterthur,60-64,Schweiz,weiblich,2840,false
2023,230,Winterthur,65-69,Ausland,männlich,447,false
2023,230,Winterthur,65-69,Ausland,weiblich,434,false
2023,230,Winterthur,65-69,Schweiz,männlich,2067,false
