ort_kanton;ort_geojson_4_mapping
Adlikon (bis 2022);
Adliswil;Adliswil
Aesch ZH;Aesch (ZH)
Aeugst a.A.;Aeugst am Albis
Affoltern a.A.;Affoltern am Albis
Altikon;Altikon
Andelfingen;Andelfingen
Andelfingen (bis 2022);Andelfingen
Bachenbülach;Bachenbülach
Bachs;Bachs
Bäretswil;Bäretswil
Bassersdorf;Bassersdorf
Bauma;Bauma
Bauma (bis 2014);Bauma
Benken;Benken (ZH)
Berg a.I.;Berg am Irchel
Bezirk Affoltern;out
Bezirk Andelfingen;out
Bezirk Bülach;out
Bezirk Dielsdorf;out
Bezirk Dietikon;out
Bezirk Hinwil;out
Bezirk Horgen;out
Bezirk Meilen;out
Bezirk Pfäffikon;out
Bezirk Uster;out
Bezirk Winterthur;out
Bezirk Zürich;out
Birmensdorf;Birmensdorf (ZH)
Bonstetten;Bonstetten
Boppelsen;Boppelsen
Brütten;Brütten
Bubikon;Bubikon
Buch a.I.;Buch am Irchel
Buchs;Buchs (ZH)
Bülach;Bülach
Dachsen;Dachsen
Dägerlen;Dägerlen
Dällikon;Dällikon
Dänikon;Dänikon
Dättlikon;Dättlikon
Dielsdorf;Dielsdorf
Dietikon;Dietikon
Dietlikon;Dietlikon
Dinhard;Dinhard
Dorf;Dorf
Dübendorf;Dübendorf
Dürnten;Dürnten
Egg;Egg
Eglisau;Eglisau
Elgg;Elgg
Elgg (bis 2017);Elgg
Ellikon a.d.Th.;Ellikon an der Thur
Elsau;Elsau
Embrach;Embrach
Erlenbach;Erlenbach (ZH)
Fällanden;Fällanden
Fehraltorf;Fehraltorf
Feuerthalen;Feuerthalen
Fischenthal;Fischenthal
Flaach;Flaach
Flurlingen;Flurlingen
Freienstein-Teufen;Freienstein-Teufen
Geroldswil;Geroldswil
Glattfelden;Glattfelden
Gossau;Gossau (ZH)
Greifensee;Greifensee
Grüningen;Grüningen
Hagenbuch;Hagenbuch
Hausen a.A.;Hausen am Albis
Hedingen;Hedingen
Henggart;Henggart
Herrliberg;Herrliberg
Hettlingen;Hettlingen
Hinwil;Hinwil
Hirzel (bis 2017);
Hittnau;Hittnau
Hochfelden;Hochfelden
Hofstetten (bis 2017);
Hombrechtikon;Hombrechtikon
Horgen;Horgen
Horgen (bis 2017);Horgen
Höri;Höri
Humlikon (bis 2022);
Hüntwangen;Hüntwangen
Hütten (bis 2018);
Hüttikon;Hüttikon
Illnau-Effretikon;Illnau-Effretikon
Illnau-Effretikon (bis 2015);Illnau-Effretikon
Kappel a.A.;Kappel am Albis
Kilchberg;Kilchberg (ZH)
Kleinandelfingen;Kleinandelfingen
Kloten;Kloten
Knonau;Knonau
Küsnacht;Küsnacht (ZH)
Kyburg (bis 2015);
Langnau a.A.;Langnau am Albis
Laufen-Uhwiesen;Laufen-Uhwiesen
Lindau;Lindau
Lufingen;Lufingen
Männedorf;Männedorf
Marthalen;Marthalen
Maschwanden;Maschwanden
Maur;Maur
Meilen;Meilen
Mettmenstetten;Mettmenstetten
Mönchaltorf;Mönchaltorf
Neerach;Neerach
Neftenbach;Neftenbach
Niederglatt;Niederglatt
Niederhasli;Niederhasli
Niederweningen;Niederweningen
Nürensdorf;Nürensdorf
Oberembrach;Oberembrach
Oberengstringen;Oberengstringen
Oberglatt;Oberglatt
Oberrieden;Oberrieden
Oberstammheim (bis 2018);
Oberweningen;Oberweningen
Obfelden;Obfelden
Oetwil a.d.L.;Oetwil an der Limmat
Oetwil a.S.;Oetwil am See
Opfikon;Opfikon
Ossingen;Ossingen
Otelfingen;Otelfingen
Ottenbach;Ottenbach
Pfäffikon;Pfäffikon
Pfungen;Pfungen
Rafz;Rafz
Regensberg;Regensberg
Regensdorf;Regensdorf
Region Furttal;out
Region Glattal;out
Region Knonaueramt;out
Region Limmattal;out
Region Oberland;out
Region Pfannenstiel;out
Region Unterland;out
Region Weinland;out
Region Winterthur u. Umg.;out
Region Zimmerberg;out
Region Zürich;out
Rheinau;Rheinau
Richterswil;Richterswil
Rickenbach;Rickenbach (ZH)
Rifferswil;Rifferswil
Rorbas;Rorbas
Rümlang;Rümlang
Rüschlikon;Rüschlikon
Russikon;Russikon
Rüti;Rüti (ZH)
Schlatt;Schlatt (ZH)
Schleinikon;Schleinikon
Schlieren;Schlieren
Schöfflisdorf;Schöfflisdorf
Schönenberg (bis 2018);
Schwerzenbach;Schwerzenbach
Seegräben;Seegräben
Seuzach;Seuzach
Stadel;Stadel
Stäfa;Stäfa
Stallikon;Stallikon
Stammheim;Stammheim
Steinmaur;Steinmaur
Sternenberg (bis 2014);
Thalheim a.d.Th.;Thalheim an der Thur
Thalwil;Thalwil
Trüllikon;Trüllikon
Truttikon;Truttikon
Turbenthal;Turbenthal
Uetikon a.S.;Uetikon am See
Uitikon;Uitikon
Unterengstringen;Unterengstringen
Unterstammheim (bis 2018);
Urdorf;Urdorf
Uster;Uster
Volken;Volken
Volketswil;Volketswil
Wädenswil;Wädenswil
Wädenswil (bis 2018);Wädenswil
Wald;Wald (ZH)
Wallisellen;Wallisellen
Waltalingen (bis 2018);
Wangen-Brüttisellen;Wangen-Brüttisellen
Wasterkingen;Wasterkingen
Weiach;Weiach
Weiningen;Weiningen (ZH)
Weisslingen;Weisslingen
Wettswil a.A.;Wettswil am Albis
Wetzikon;Wetzikon (ZH)
Wiesendangen;Wiesendangen
Wil;Wil (ZH)
Wila;Wila
Wildberg;Wildberg
Winkel;Winkel
Winterthur;Winterthur Altstadt
Zell;Zell (ZH)
Zollikon;Zollikon
Zumikon;Zumikon
Zürich;Zürich, Kreis 1 und 2
Zürich - ganzer Kanton;out
