jahr,gemeinde_bfs_nr,gemeinde,stadtkreis_bfs_nr,stadtkreis,quartier_bfs_nr,quartier,staatenkleingruppe,region,anzahl,anzahl_ist_kleingruppe
2023,230,Winterthur,1,Stadt,110,Altstadt,Afrika,übrige Kontinente,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Amerika,übrige Kontinente,22,false
2023,230,Winterthur,1,Stadt,110,Altstadt,Asien,übrige Kontinente,29,false
2023,230,Winterthur,1,Stadt,110,Altstadt,Australien und Ozeanien,übrige Kontinente,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Deutschland,"Nord-, Mittel- und Westeuropa",130,false
2023,230,Winterthur,1,Stadt,110,Altstadt,Italien,Südeuropa,47,false
2023,230,Winterthur,1,Stadt,110,Altstadt,Kosovo,Südosteuropa,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Mazedonien,Südosteuropa,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Österreich,"Nord-, Mittel- und Westeuropa",22,false
2023,230,Winterthur,1,Stadt,110,Altstadt,Osteuropa und Russland,Osteuropa,23,false
2023,230,Winterthur,1,Stadt,110,Altstadt,Portugal,Südeuropa,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Schweiz,"Nord-, Mittel- und Westeuropa",1685,false
2023,230,Winterthur,1,Stadt,110,Altstadt,Serbien,Südosteuropa,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Spanien,Südeuropa,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Türkei,Osteuropa,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",25,false
2023,230,Winterthur,1,Stadt,110,Altstadt,übriges Südosteuropa,Südosteuropa,,true
2023,230,Winterthur,1,Stadt,110,Altstadt,Westeuropa,"Nord-, Mittel- und Westeuropa",47,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Afrika,übrige Kontinente,76,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Amerika,übrige Kontinente,30,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Asien,übrige Kontinente,144,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Australien und Ozeanien,übrige Kontinente,,true
2023,230,Winterthur,5,Veltheim,520,Blumenau,Bosnien u. Herzegowina,Südosteuropa,,true
2023,230,Winterthur,5,Veltheim,520,Blumenau,Deutschland,"Nord-, Mittel- und Westeuropa",225,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Italien,Südeuropa,161,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Kosovo,Südosteuropa,67,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Mazedonien,Südosteuropa,72,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,5,Veltheim,520,Blumenau,Österreich,"Nord-, Mittel- und Westeuropa",33,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Osteuropa und Russland,Osteuropa,39,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Portugal,Südeuropa,58,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Schweiz,"Nord-, Mittel- und Westeuropa",3413,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Serbien,Südosteuropa,44,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Spanien,Südeuropa,45,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,Türkei,Osteuropa,56,false
2023,230,Winterthur,5,Veltheim,520,Blumenau,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",57,false
